security || This patch is a security patch (SRP) because it fixes a NULL pointer access vulnerability in the kernel.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It fixes an overflow condition in the pool_find_page() function in the dmapool.c file. The patch addresses a specific issue related to the calculation of the end address of a DMA pool and does not involve any security vulnerabilities or threats.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch appears to be a non-security patch (NSP). It is fixing a bug reported by a user and does not seem to address any security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes an integer overflow vulnerability in the rndis_wlan driver, which could potentially be exploited by an attacker.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a memory leak that could potentially be exploited by an attacker.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak issue in IPv6 multicast but does not address any security vulnerabilities.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential vulnerability by checking for allocation failure and returning an error code if the allocation fails.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a compiler warning related to the frame size of a function in the ipw2200.c file. The patch does not address any security vulnerabilities or issues.
security || This patch is a security patch (SRP) because it fixes a potential security problem by removing the line of code that could be used to touch an arbitrary file.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a NULL pointer dereference vulnerability in the drm/i915 driver.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes an error checking issue in the vhost-net driver, but it does not address any security vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability related to data lingering in the read buffer after being copied to the user.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential vulnerability where a pointer returned from the call to the function 'malloc' may be NULL and will be dereferenced later in the code. The patch adds a check to ensure that the pointer is not NULL before dereferencing it.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a memory leak issue in the mysql_real_connect() function, which could potentially be exploited by attackers.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch appears to be a security patch (SRP) because it fixes a double free vulnerability in the GPRS outbound packet error path.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It appears to be a bug fix or improvement to the handling of invalid length or empty data in the Aireplay-ng test. It does not address any specific security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It is fixing a bug related to clearing the address in the nf_conntrack_sip module, but it does not address any security vulnerabilities.
security || This patch is a security patch (SRP) because it fixes a null dereference vulnerability in the ceph code, which could cause a crash if osds were flapping and a request on said osd was aborted.
security || This patch is a security patch (SRP) because it fixes a buffer overflow vulnerability in the do_start() function.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak issue in the umount.c file, but it does not address any security vulnerabilities or threats.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes an out of reference frame read vulnerability, which could potentially be exploited by an attacker.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential NULL pointer dereference vulnerability in the Bluetooth code.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It addresses an issue related to the TSC frequency calculation in the target-i386 module. It does not fix a security vulnerability or introduce any security-related changes.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It is a code change that improves the functionality of the orinoco driver by maintaining a lock until an entry is removed from a list.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a bug related to the permissions used when creating a directory in an SFTP server.
security || This patch is a security patch (SRP) because it fixes a deadlock in the audit_log_task_context() function, which is related to security and access control.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It is focused on improving pointer hygiene and preventing memory bugs, but it does not address any specific security vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch appears to be a non-security patch (NSP) as it is fixing a bug related to memory leaks in the code.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a NULL dereference vulnerability in the kernel_exec.c file.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a memory leak that could be exploited by an attacker to spray the memory of the feh application or trigger an out of memory condition.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch does not appear to be a security patch. It seems to be a code change related to checking data size in the tiertexseq.c file of the ffmpeg library.
security || This patch is a non-security patch (NSP). It fixes an issue related to failed dma pool allocation in the xhci driver.
security || This patch is a security patch (SRP) because it fixes a vulnerability that can be exploited by an attacker to cause an out-of-bounds access.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes error handling in the mac80211_hwsim driver, which could lead to TCP stalls and lost packets.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak in the ASoC nuc900-ac97 driver.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a NULL dereference issue in the sd_create function of the sheepdog.c file.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It is a warning fix for an uninitialized variable in the code, which does not directly address any security vulnerabilities.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It is making changes to the code related to the pixel format used in lossless jpeg encoding and decoding.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a message leak vulnerability in the RDS protocol implementation.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a NULL pointer dereference vulnerability that could potentially lead to a system crash or compromise.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It is fixing a bug related to checking the return value from clk_prepare_enable() in the mxs-auart driver. It does not address any security vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability that could be exploited by a malicious user.
security || This patch is a security patch (SRP).
security || This patch appears to be a non-security patch (NSP) as it is fixing a bug related to a crash caused by dereferencing NULL, rather than addressing a security vulnerability.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential NULL pointer dereference vulnerability in the isdn driver.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a bug in the sys_migrate_pages function to ensure that all pages are moved when invoked from the root user. It does not address any security vulnerabilities or threats.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability related to freeing inode_cache objects when their nlink isn't zero.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential security vulnerability by ensuring that vol->username is not NULL before running strlen on it.
security || This patch is a security patch (SRP) because it fixes a null pointer dereference vulnerability in the librados library.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It fixes an issue with integer overflow in the AV PLL round rate calculation in the clk-pllv3.c file. The patch does not address any security vulnerabilities or threats.
security || This patch is a security patch (SRP) because it fixes a potential security vulnerability related to sleep-in-atomic by memory allocation with GFP_KERNEL in regmap_bulk_write().
security || This patch is a security patch (SRP) because it fixes a vulnerability in the code that could cause a kernel oops due to insufficient bounds checking.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes an issue with the order of releasing resources in the ide_detach() function in the ide-cs.c file. The patch does not address any security vulnerabilities or threats.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a bug in the code related to zero terminating a line in the Curl_pp_readresp function. The bug caused a problem with test 864.
security || This patch is a non-security patch (NSP). It fixes a minor memory leak in the RTSP muxer by freeing metadata in chained RTP muxers.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it adds a NULL check for the ibqp event handler before calling it to report QP events. This check ensures that the event handler is initialized and prevents potential security vulnerabilities.
security || This patch is a security patch (SRP) because it fixes an issue that could lead to out of bounds writes, which can be exploited by attackers to gain unauthorized access or execute arbitrary code.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It fixes an issue related to undefined behavior in the code, but it does not address any security vulnerabilities or threats.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes sparse warnings related to different signedness in the code.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes an information leak vulnerability in the RTM_GETSTATS call.
security || This patch is a security patch (SRP) because it fixes a read buffer overflow vulnerability.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a memory leak issue related to password length in the authentication process.
security || This patch is a security patch (SRP) because it fixes a vulnerability that could lead to memory corruption.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a null pointer dereference vulnerability in the drivers/net/fs_enet module.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a vulnerability in the code that could potentially lead to reading past the end of an array, which can be exploited by an attacker.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a memory corruption issue that could potentially lead to crashes and bad things happening.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a potential memory leak and avoids the reuse of freed memory in the hw/9pfs/virtio-9p-proxy.c file.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a memory leak issue in the mwifiex_update_curr_bss_params() function, which could potentially be exploited by an attacker to cause a denial of service or execute arbitrary code.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it adds a check to prevent rawmidi functions from being called in irq handlers when the streams are not opened, which could result in system crashes or vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It addresses a problem with the bus rescan process in the s390/zcrypt driver, improving its handling and protecting the rescan area by mutual exclusion.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a kmalloc error check, which is a potential security vulnerability.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It appears to be a code change that fixes an off by one error in the "driver-avalon.c" file. It does not address any security vulnerabilities or introduce any security enhancements.
security || This patch appears to be a security patch (SRP) because it fixes a vulnerability by checking for a specific condition (len <= 0) and returning an error code (EINVAL) to prevent further execution.
security || This patch is a non-security patch (NSP). It fixes a code issue in the scsi-generic.c file by replacing the use of free() with qemu_free(). It does not address any security vulnerabilities or introduce any security enhancements.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch appears to be a non-security patch (NSP) as it is fixing a symlink problem for the "--private-bin" option in the firejail software.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability that could lead to an OOPS (crash) if illegal commands are dumped in S2API.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak and frees sgids in an error case.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability that could lead to an out of buffer write.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a vulnerability that could lead to an out of bounds read.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Security patch (SRP)
security || This patch is a security patch (SRP) because it fixes a NULL pointer dereference vulnerability in the power_supply driver.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes memory leaks when skb_to_sgvec fails in the macsec module of the Linux kernel.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a bug that could lead to a read buffer overflow, which is a security vulnerability.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes an off-by-one error in the comparison of key lengths, which could potentially lead to security vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a potential issue with reading stale or freed data from the DEV_INFO ioctl, but it does not address any specific security vulnerability.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It adds a sanity checking memcpy function which checks for overflows, but it does not address any security vulnerabilities or fix any security issues.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a buffer overflow vulnerability in the libadm.so.1`pkginfofind function.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It is fixing a bug related to clearing the address in the nf_conntrack_sip module, but it does not address any security vulnerabilities.
security || This patch is a security patch (SRP) because it fixes a vulnerability related to accessing a zeroed location in the code, which could lead to accessing NULL or hardware-owned memory.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a bug that could lead to a crash in the IP stack due to a bogus IPCB area from a bridged packet being interpreted as IP options.
security || This patch is a security patch (SRP) because it fixes a bug that can lead to a kernel NULL pointer dereference, which can be exploited by attackers to gain unauthorized access or cause a denial of service.
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP).
security || Non-security patch (NSP)
security || This patch appears to be a non-security patch (NSP) as it does not address any security vulnerabilities or issues.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes an issue related to marking space dirty in the JFFS2 file system, but it does not address any security vulnerabilities.
security || This patch is a non-security patch (NSP). It adds a spinlock around mailbox accesses to prevent simultaneous access to the mailboxes.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a bug related to the USB driver and does not address any security vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP). It fixes a potential overflow issue in the flvdec module of the libavformat library. By checking for overflow before allocating arrays, it prevents a multiplication from overflowing. This fix helps to ensure the stability and security of the software.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a bug in the MLS compatibility code that could potentially lead to security vulnerabilities by rejecting contexts with a MLS suffix.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a bug related to a null pointer dereference in the b43 wireless driver, which can cause an Oops (kernel panic) when a SDIO card is ejected during IO.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a vulnerability (CVE-2015-6815) that could lead to an infinite loop in processing transmit descriptors.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a bug that could potentially lead to a crash and is related to memory allocation failure.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch appears to be a non-security patch (NSP) as it fixes an issue with interlaced PAETH prediction in the pngdec module.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak issue in the x509crl module of OpenSSL, but it does not address any security vulnerabilities or threats.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak in the code but does not address any security vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a vulnerability that can lead to memory leaks and unexpected behavior, which can potentially be exploited by attackers.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a vulnerability related to checking the return value of the parse_object function.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It is fixing a coding issue by replacing the use of "0" with "NULL" for pointers.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it adds a check for a privileged SCLP handler and generates an exception when it is called from the problem state.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It is fixing a bug related to removing data from a queue, but it does not address any security vulnerabilities.
